name,category_id,brand,price,description
Playera Nike Dri-Fit,Playeras,Nike,899,Playera ligera con tecnología Dri-Fit para correr
Playera Adidas Training,Playeras,Adidas,749,Playera respirable para entrenamiento
Playera Puma Active,Playeras,Puma,699,Playera deportiva de secado rápido
Playera Under Armour HeatGear,Playeras,Under Armour,999,Playera ajustada para alto rendimiento
Tenis Nike Revolution 6,Tenis,Nike,1599,Tenis para correr con amortiguación suave
Tenis Adidas Ultraboost 22,Tenis,Adidas,2799,Tenis premium con suela Boost
Tenis Puma Velocity Nitro,Tenis,Puma,1899,Tenis ligeros para correr largas distancias
Tenis Asics Gel Nimbus,Tenis,Asics,3199,Tenis profesionales con gel amortiguante
Balón Adidas FIFA Quality,Balones,Adidas,499,Balón oficial con certificación FIFA Quality
Balón Puma Liga,Balones,Puma,399,Balón cosido a máquina con alta durabilidad
Balón Wilson NBA Replica,Balones,Wilson,599,Balón de basquetbol réplica NBA
Gorra Nike Legacy,Gorras,Nike,399,Gorra deportiva transpirable
Gorra Adidas Sport,Gorras,Adidas,349,Gorra para entrenamiento con protección UV
Mochila Under Armour Hustle,Mochilas,Under Armour,1299,Mochila impermeable para deporte
Mochila Puma Challenger,Mochilas,Puma,999,Mochila espaciosa con bolsillos laterales
Shorts Adidas Climalite,Shorts,Adidas,599,Short ligero con tecnología Climalite
Shorts Nike Running 7in,Shorts,Nike,649,Short con paneles respirables
Sudadera Nike Sportswear,Sudaderas,Nike,1199,Sudadera casual y cómoda
Sudadera Adidas Essentials,Sudaderas,Adidas,1099,Sudadera con felpa suave
Pants Puma Essentials,Pants,Puma,899,Pantalón deportivo cómodo y versátil
